"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","H","ISO","BABIP","BB%","K%","Bat","PA","playerid"
"Jose Altuve","Astros","33.9 %","70.1 %","49.3 %","76.9 %","92.3 %","86.2 %","42.6 %","64.7 %","6.8 %","749",".173",".351","7.6 %","11.0 %","133.6","2502","5417"
"Anthony Rizzo","Cubs","31.3 %","66.7 %","46.0 %","70.9 %","91.5 %","83.3 %","41.4 %","55.8 %","7.7 %","567",".228",".284","11.5 %","14.3 %","102.6","2440","3473"
"Miguel Cabrera","Tigers","31.4 %","71.8 %","48.5 %","66.4 %","85.9 %","78.6 %","42.4 %","58.8 %","10.2 %","490",".197",".338","12.2 %","17.9 %","79.7","1876","1744"
"Mookie Betts","Red Sox","23.2 %","56.5 %","38.5 %","72.1 %","93.5 %","86.5 %","46.0 %","58.8 %","5.2 %","662",".218",".308","8.9 %","11.5 %","96.6","2451","13611"
"Edwin Encarnacion","- - -","24.9 %","67.4 %","43.2 %","62.7 %","84.5 %","77.3 %","43.1 %","56.0 %","9.8 %","519",".260",".263","13.0 %","19.2 %","95.4","2362","2151"
"Matt Carpenter","Cardinals","20.5 %","57.3 %","36.9 %","63.6 %","88.5 %","80.9 %","44.6 %","57.1 %","7.1 %","488",".233",".302","14.7 %","21.2 %","94.2","2231","8090"
"Jose Ramirez","Indians","25.5 %","64.0 %","42.4 %","80.0 %","92.3 %","88.1 %","43.9 %","56.3 %","5.0 %","539",".217",".301","9.1 %","10.7 %","78.8","2037","13510"
"Justin Turner","Dodgers","25.0 %","68.0 %","44.8 %","78.2 %","88.1 %","85.1 %","46.2 %","58.0 %","6.7 %","455",".201",".307","9.1 %","14.2 %","76.4","1793","5235"
"Daniel Murphy","- - -","32.4 %","67.5 %","47.6 %","80.0 %","95.3 %","89.4 %","43.2 %","56.1 %","5.0 %","518",".207",".319","7.0 %","9.9 %","69.8","1810","4316"
"Corey Seager","Dodgers","30.2 %","78.7 %","51.3 %","57.0 %","87.7 %","77.5 %","43.6 %","61.3 %","11.5 %","412",".192",".352","9.6 %","19.6 %","62.8","1528","13624"
"Gary Sanchez","Yankees","33.1 %","64.9 %","46.2 %","57.5 %","84.2 %","72.9 %","41.2 %","56.4 %","12.5 %","235",".273",".278","9.3 %","23.6 %","37.1","1021","11442"
"Yoenis Cespedes","- - -","36.1 %","65.9 %","48.7 %","65.8 %","87.5 %","78.2 %","42.2 %","59.2 %","10.5 %","438",".247",".314","7.2 %","21.3 %","65.5","1692","13110"
"Carlos Correa","Astros","29.4 %","63.2 %","43.7 %","66.1 %","86.6 %","78.6 %","42.2 %","57.5 %","9.3 %","471",".210",".325","10.9 %","20.4 %","77.3","1888","14162"
"Alex Bregman","Astros","24.3 %","64.7 %","42.6 %","73.4 %","89.0 %","84.2 %","45.4 %","60.1 %","6.7 %","318",".215",".305","9.9 %","15.8 %","50.8","1277","17678"
"Brandon Belt","Giants","25.8 %","78.1 %","47.7 %","59.8 %","83.3 %","75.9 %","41.8 %","57.5 %","11.5 %","464",".204",".335","13.4 %","23.3 %","76.6","2007","10264"
"Manny Machado","Orioles","30.0 %","70.1 %","47.3 %","67.8 %","88.9 %","81.3 %","43.1 %","58.4 %","8.8 %","647",".229",".294","8.5 %","15.8 %","83.3","2512","11493"
"A.J. Pollock","Diamondbacks","29.2 %","63.1 %","44.8 %","65.5 %","93.2 %","83.5 %","45.9 %","61.8 %","7.4 %","368",".205",".316","7.8 %","15.2 %","35.9","1392","9256"
"Willson Contreras","Cubs","33.3 %","67.3 %","48.0 %","62.4 %","80.1 %","73.1 %","43.1 %","60.8 %","12.9 %","257",".202",".333","10.0 %","22.4 %","29.5","1052","11609"
"Shin-Soo Choo","Rangers","22.9 %","63.4 %","41.0 %","62.1 %","84.3 %","77.4 %","44.6 %","58.0 %","9.2 %","440",".181",".323","12.5 %","21.8 %","51.2","1915","3174"
"Tommy Pham","Cardinals","22.5 %","60.6 %","39.6 %","54.9 %","86.2 %","76.4 %","44.9 %","60.9 %","9.3 %","289",".196",".339","11.9 %","25.7 %","38.8","1239","2967"
"Trevor Story","Rockies","29.6 %","69.8 %","47.7 %","55.8 %","82.5 %","73.4 %","45.1 %","60.7 %","12.7 %","328",".255",".342","8.4 %","30.8 %","11.1","1375","12564"
"Anthony Rendon","Nationals","22.4 %","64.1 %","41.6 %","75.4 %","90.6 %","86.2 %","46.2 %","60.6 %","5.8 %","471",".191",".309","11.2 %","16.6 %","52.8","1934","12861"
"Francisco Lindor","Indians","31.0 %","69.5 %","47.7 %","72.2 %","90.7 %","83.9 %","43.3 %","58.6 %","7.7 %","595",".198",".309","8.2 %","14.2 %","64.0","2287","12916"
"George Springer","Astros","25.0 %","71.1 %","45.5 %","61.9 %","81.1 %","75.2 %","44.6 %","59.4 %","11.3 %","524",".200",".308","10.9 %","21.2 %","76.1","2255","12856"
"Ryan Braun","Brewers","36.8 %","71.9 %","51.5 %","67.0 %","88.2 %","79.4 %","41.8 %","62.8 %","10.5 %","457",".218",".308","8.6 %","19.0 %","44.1","1812","3410"
"Adrian Beltre","Rangers","34.9 %","64.9 %","47.7 %","75.9 %","89.5 %","83.8 %","42.6 %","60.0 %","7.7 %","510",".188",".306","7.8 %","12.5 %","46.8","1909","639"
"Michael Brantley","Indians","25.0 %","65.5 %","43.6 %","78.8 %","96.1 %","90.7 %","45.9 %","59.0 %","4.0 %","379",".164",".316","8.6 %","10.0 %","37.2","1386","4106"
"Jose Abreu","White Sox","36.9 %","68.1 %","49.9 %","65.1 %","87.7 %","78.0 %","41.8 %","59.0 %","10.9 %","642",".208",".322","6.0 %","18.8 %","73.5","2437","15676"
"Khris Davis","- - -","28.0 %","75.8 %","49.2 %","50.4 %","77.0 %","68.5 %","44.2 %","61.0 %","15.5 %","456",".270",".282","9.2 %","28.1 %","60.7","2075","9112"
"Christian Yelich","- - -","24.7 %","64.1 %","42.0 %","59.3 %","88.2 %","78.7 %","44.0 %","54.9 %","8.9 %","578",".157",".354","10.4 %","20.5 %","60.6","2236","11477"
"David Peralta","Diamondbacks","32.0 %","70.0 %","48.4 %","63.0 %","88.7 %","79.0 %","43.3 %","61.7 %","10.1 %","438",".186",".340","7.5 %","19.6 %","32.3","1655","2136"
"Buster Posey","Giants","28.7 %","68.3 %","46.2 %","77.8 %","91.6 %","86.8 %","44.1 %","57.2 %","6.0 %","576",".143",".322","10.1 %","10.5 %","63.6","2144","9166"
"Andrew McCutchen","- - -","23.9 %","69.5 %","44.7 %","63.0 %","83.8 %","77.7 %","45.5 %","57.0 %","9.9 %","569",".185",".315","11.9 %","19.9 %","64.2","2419","9847"
"Andrew Benintendi","Red Sox","28.5 %","66.0 %","44.5 %","72.1 %","88.6 %","82.5 %","42.6 %","56.8 %","7.8 %","290",".179",".318","10.9 %","17.6 %","25.0","1181","17901"
"Miguel Sano","Twins","26.7 %","66.9 %","43.9 %","39.6 %","76.2 %","63.4 %","42.7 %","58.3 %","16.1 %","320",".237",".355","11.9 %","36.3 %","33.6","1476","12164"
"Justin Bour","Marlins","31.4 %","61.7 %","43.4 %","65.0 %","83.2 %","75.3 %","39.8 %","53.1 %","10.7 %","366",".215",".298","11.5 %","22.1 %","41.4","1577","9744"
"Carlos Gonzalez","Rockies","36.4 %","75.0 %","51.8 %","55.6 %","82.8 %","71.4 %","40.1 %","57.3 %","14.8 %","519",".213",".319","8.2 %","21.6 %","7.5","2054","7287"
"DJ LeMahieu","Rockies","24.1 %","60.9 %","41.9 %","76.5 %","93.2 %","88.3 %","48.3 %","58.9 %","4.9 %","635",".117",".357","8.7 %","14.3 %","6.9","2266","9874"
"Kyle Schwarber","Cubs","27.3 %","66.5 %","43.4 %","56.7 %","79.8 %","71.2 %","41.0 %","57.7 %","12.5 %","212",".249",".272","13.7 %","29.1 %","21.7","1085","16478"
"Justin Smoak","Blue Jays","26.0 %","65.3 %","42.5 %","59.3 %","85.5 %","76.2 %","42.0 %","56.3 %","10.1 %","358",".233",".282","11.8 %","24.9 %","37.6","1674","9054"
"Lorenzo Cain","- - -","29.9 %","68.6 %","47.4 %","65.6 %","89.9 %","81.5 %","45.2 %","60.1 %","8.7 %","546",".144",".343","8.3 %","16.8 %","41.9","2034","9077"
"Robinson Cano","Mariners","34.5 %","72.1 %","50.6 %","69.7 %","91.4 %","82.9 %","42.9 %","59.8 %","8.6 %","581",".187",".304","7.3 %","14.3 %","60.3","2206","3269"
"Justin Upton","- - -","25.5 %","66.8 %","43.9 %","55.8 %","78.9 %","71.5 %","44.6 %","57.4 %","12.5 %","515",".224",".313","10.5 %","27.5 %","55.5","2285","5222"
"Adam Eaton","- - -","29.8 %","62.8 %","44.7 %","73.2 %","89.7 %","83.7 %","45.4 %","59.4 %","7.3 %","420",".141",".341","8.8 %","17.4 %","38.5","1647","11205"
"Domingo Santana","- - -","26.4 %","68.6 %","44.9 %","48.7 %","79.5 %","69.3 %","43.8 %","61.5 %","13.8 %","294",".194",".358","11.1 %","31.2 %","21.2","1286","10348"
"Eugenio Suarez","Reds","25.7 %","66.1 %","43.8 %","59.8 %","86.1 %","77.6 %","44.8 %","60.5 %","9.8 %","476",".192",".320","9.6 %","23.1 %","36.7","2005","12552"
"Trea Turner","Nationals","28.0 %","64.8 %","44.8 %","62.7 %","87.4 %","79.0 %","45.7 %","62.5 %","9.4 %","334",".169",".339","7.2 %","18.6 %","21.4","1246","16252"
"Carlos Santana","- - -","21.1 %","61.8 %","38.8 %","69.8 %","88.1 %","82.4 %","43.4 %","52.3 %","6.8 %","494",".198",".255","15.2 %","15.3 %","46.9","2428","2396"
"Brian Dozier","Twins","26.5 %","63.3 %","42.8 %","67.4 %","85.0 %","78.9 %","44.3 %","58.4 %","9.0 %","564",".230",".275","9.7 %","20.2 %","48.4","2514","9810"
"Michael Conforto","Mets","26.6 %","65.1 %","43.2 %","59.2 %","84.1 %","75.4 %","43.1 %","55.3 %","10.6 %","280",".216",".290","12.3 %","24.6 %","31.7","1328","16376"
"Dustin Pedroia","Red Sox","25.7 %","60.6 %","42.7 %","80.7 %","92.6 %","88.9 %","48.6 %","56.9 %","4.7 %","432",".126",".323","9.4 %","10.8 %","26.4","1599","8370"
"Mark Reynolds","- - -","27.4 %","69.5 %","45.7 %","51.7 %","80.0 %","70.4 %","43.4 %","56.5 %","13.5 %","372",".196",".335","10.6 %","27.7 %","10.2","1599","7619"
"Eric Hosmer","- - -","32.3 %","68.5 %","47.4 %","62.6 %","88.1 %","78.0 %","41.7 %","56.8 %","10.4 %","623",".166",".326","9.2 %","18.1 %","46.8","2412","3516"
"Jose Bautista","- - -","22.9 %","61.2 %","39.1 %","60.2 %","85.3 %","76.9 %","42.4 %","55.6 %","9.1 %","389",".219",".246","15.4 %","20.9 %","37.9","2069","1887"
"Mike Moustakas","Royals","35.8 %","71.5 %","51.1 %","71.0 %","90.0 %","82.4 %","42.9 %","57.6 %","9.0 %","420",".220",".268","6.5 %","14.2 %","30.5","1714","4892"
"Joc Pederson","Dodgers","27.0 %","64.1 %","42.5 %","58.5 %","81.7 %","73.1 %","41.6 %","57.2 %","11.4 %","316",".227",".264","13.5 %","24.7 %","35.9","1649","11899"
"Curtis Granderson","- - -","21.4 %","58.7 %","37.7 %","62.9 %","88.5 %","80.3 %","43.7 %","55.0 %","7.4 %","426",".217",".271","12.8 %","22.9 %","43.6","2103","4747"
"Robinson Chirinos","Rangers","29.3 %","64.2 %","44.0 %","56.7 %","80.9 %","71.6 %","42.2 %","60.7 %","12.5 %","201",".229",".284","10.1 %","28.1 %","13.5","1015","3142"
"Xander Bogaerts","Red Sox","33.4 %","59.3 %","45.1 %","68.0 %","89.7 %","80.9 %","45.3 %","60.6 %","8.6 %","632",".146",".340","7.5 %","17.1 %","32.2","2356","12161"
"Travis Shaw","- - -","30.3 %","67.0 %","45.8 %","68.4 %","87.0 %","79.9 %","42.3 %","55.2 %","9.2 %","402",".216",".292","9.6 %","22.1 %","19.8","1756","11982"
"Wil Myers","Padres","27.4 %","62.7 %","42.7 %","64.6 %","85.1 %","77.7 %","43.3 %","58.7 %","9.5 %","385",".211",".303","10.3 %","25.0 %","31.9","1713","10047"
"Derek Dietrich","Marlins","31.4 %","68.7 %","47.6 %","66.4 %","89.3 %","80.7 %","43.3 %","57.0 %","9.1 %","357",".169",".325","7.2 %","21.8 %","25.9","1527","10542"
"Ben Zobrist","- - -","22.4 %","56.7 %","37.4 %","76.5 %","93.1 %","87.5 %","43.7 %","57.3 %","4.7 %","443",".159",".282","12.8 %","12.5 %","26.7","1954","7435"
"Steve Pearce","- - -","26.9 %","70.5 %","46.7 %","59.5 %","87.3 %","78.6 %","45.4 %","59.1 %","10.0 %","253",".202",".284","8.6 %","19.0 %","18.0","1093","9957"
"Nicholas Castellanos","Tigers","35.7 %","73.2 %","52.0 %","54.5 %","84.2 %","72.7 %","43.5 %","64.6 %","14.2 %","539",".200",".333","6.4 %","23.4 %","31.8","2116","11737"
"Matt Adams","- - -","38.3 %","72.4 %","51.8 %","63.3 %","85.1 %","75.3 %","39.5 %","62.1 %","12.8 %","264",".227",".297","7.1 %","23.2 %","16.1","1093","9393"
"Yasmani Grandal","Dodgers","25.2 %","61.9 %","41.0 %","59.3 %","84.2 %","75.4 %","42.9 %","55.2 %","10.1 %","346",".212",".276","12.4 %","24.2 %","29.7","1671","11368"
"Corey Dickerson","- - -","44.4 %","77.2 %","57.6 %","71.9 %","78.7 %","75.6 %","40.1 %","62.7 %","14.0 %","458",".207",".326","5.2 %","22.0 %","25.1","1755","10762"
"Starling Marte","Pirates","37.2 %","74.1 %","53.6 %","60.8 %","86.7 %","76.7 %","44.4 %","65.2 %","12.4 %","495",".151",".344","5.0 %","19.7 %","27.7","1852","9241"
"Kendrys Morales","- - -","33.4 %","69.0 %","48.0 %","61.4 %","86.0 %","75.9 %","41.0 %","56.4 %","11.5 %","509",".197",".293","8.3 %","19.5 %","28.5","2131","8610"
"Stephen Piscotty","- - -","32.4 %","73.0 %","50.6 %","61.6 %","85.0 %","76.7 %","44.7 %","62.9 %","11.8 %","392",".175",".316","8.9 %","20.9 %","25.0","1650","13367"
"Zack Cozart","- - -","27.4 %","63.3 %","44.2 %","68.8 %","91.9 %","84.3 %","46.7 %","61.0 %","6.9 %","346",".198",".279","8.9 %","15.7 %","18.1","1482","2616"
"Adam Lind","- - -","34.4 %","61.6 %","46.1 %","69.5 %","89.5 %","81.0 %","43.1 %","57.3 %","8.7 %","316",".192",".294","9.2 %","18.1 %","17.7","1303","8027"
"Josh Reddick","- - -","28.4 %","64.3 %","43.7 %","74.8 %","92.0 %","85.6 %","42.5 %","55.5 %","6.3 %","469",".158",".303","8.6 %","12.9 %","33.1","1840","3892"
"Lucas Duda","- - -","28.4 %","60.9 %","41.8 %","57.9 %","86.9 %","75.2 %","41.0 %","54.7 %","10.3 %","288",".234",".268","10.7 %","25.9 %","24.9","1435","2502"
"Dexter Fowler","- - -","21.9 %","66.5 %","41.2 %","62.6 %","86.3 %","79.2 %","43.3 %","58.2 %","8.6 %","428",".174",".303","12.7 %","21.9 %","26.4","2006","4062"
"Asdrubal Cabrera","- - -","32.5 %","72.8 %","50.0 %","68.8 %","87.4 %","80.5 %","43.3 %","60.8 %","9.7 %","512",".179",".309","7.5 %","18.0 %","34.3","2039","4962"
"Jake Lamb","Diamondbacks","25.6 %","63.1 %","42.0 %","54.5 %","86.2 %","75.4 %","43.8 %","56.6 %","10.3 %","399",".208",".303","11.5 %","25.1 %","10.7","1839","13329"
"Eddie Rosario","Twins","41.2 %","76.6 %","56.6 %","67.8 %","82.1 %","76.2 %","43.4 %","61.7 %","13.4 %","485",".200",".329","4.7 %","21.3 %","21.8","1818","12155"
"Scooter Gennett","- - -","36.0 %","72.0 %","51.5 %","70.9 %","87.8 %","81.1 %","43.2 %","62.0 %","9.7 %","481",".175",".331","5.8 %","20.3 %","17.8","1819","10339"
"Marcell Ozuna","- - -","32.9 %","69.5 %","48.1 %","58.8 %","85.7 %","74.9 %","41.6 %","62.6 %","12.1 %","552",".175",".321","7.3 %","20.5 %","31.4","2158","10324"
"Scott Schebler","- - -","35.4 %","77.6 %","53.2 %","57.5 %","82.0 %","72.5 %","42.1 %","59.5 %","14.6 %","261",".215",".286","7.4 %","22.7 %","9.3","1152","12225"
"Joey Gallo","Rangers","32.0 %","74.0 %","47.6 %","43.5 %","70.7 %","59.2 %","37.1 %","58.1 %","19.4 %","176",".283",".250","13.4 %","38.5 %","8.0","1050","14128"
"Pedro Alvarez","- - -","31.2 %","67.8 %","46.0 %","50.9 %","82.6 %","69.8 %","40.4 %","58.5 %","13.8 %","220",".234",".274","10.0 %","26.7 %","13.9","1028","2495"
"Yasiel Puig","Dodgers","30.8 %","74.0 %","49.3 %","59.9 %","84.5 %","75.7 %","42.7 %","61.5 %","12.0 %","358",".193",".290","9.0 %","19.2 %","22.0","1526","14225"
"Matt Kemp","- - -","37.5 %","74.2 %","53.1 %","60.6 %","82.2 %","73.5 %","42.6 %","62.6 %","14.1 %","538",".202",".316","5.8 %","22.5 %","28.9","2111","5631"
"Yulieski Gurriel","Astros","35.5 %","69.1 %","49.9 %","73.0 %","91.4 %","83.9 %","42.9 %","62.1 %","8.0 %","289",".162",".309","4.0 %","10.4 %","16.7","1036","19198"
"Kyle Seager","Mariners","27.5 %","64.2 %","44.1 %","68.3 %","88.6 %","81.6 %","45.2 %","57.2 %","8.1 %","563",".200",".276","8.4 %","16.7 %","40.7","2413","9785"
"Odubel Herrera","Phillies","36.8 %","68.9 %","50.2 %","63.1 %","85.9 %","76.2 %","41.8 %","62.1 %","11.9 %","562",".150",".351","6.8 %","21.9 %","19.8","2149","11476"
"Javier Baez","Cubs","44.8 %","72.8 %","55.9 %","56.9 %","80.6 %","69.1 %","39.5 %","63.3 %","17.2 %","365",".201",".345","4.5 %","26.2 %","8.8","1403","12979"
"Josh Bell","Pirates","27.0 %","66.9 %","43.7 %","69.2 %","85.5 %","79.6 %","41.9 %","55.7 %","8.9 %","260",".176",".290","11.3 %","17.7 %","9.8","1146","13145"
"Chris Taylor","- - -","24.6 %","70.0 %","46.0 %","52.1 %","83.6 %","74.6 %","47.1 %","64.5 %","11.7 %","265",".188",".336","8.3 %","26.4 %","14.0","1127","13757"
"Matt Holliday","- - -","29.1 %","71.2 %","47.0 %","61.7 %","85.8 %","77.2 %","42.5 %","60.8 %","10.7 %","244",".190",".281","10.6 %","20.7 %","11.8","1130","1873"
"Danny Valencia","- - -","30.4 %","61.3 %","44.0 %","54.7 %","85.8 %","73.8 %","44.0 %","59.1 %","11.5 %","404",".176",".320","8.0 %","22.1 %","20.8","1635","6364"
"Whit Merrifield","Royals","34.2 %","67.0 %","49.1 %","70.1 %","91.1 %","83.1 %","45.4 %","60.6 %","8.3 %","366",".144",".336","6.2 %","16.6 %","11.5","1365","11281"
"Francisco Cervelli","Pirates","20.3 %","62.8 %","39.9 %","61.7 %","86.1 %","79.5 %","46.1 %","59.0 %","8.2 %","331",".114",".329","11.7 %","19.3 %","14.8","1442","5275"
"Yunel Escobar","- - -","27.6 %","73.1 %","48.5 %","65.0 %","92.5 %","84.1 %","46.0 %","62.6 %","7.7 %","421",".101",".334","7.4 %","12.2 %","18.6","1539","4191"
"Mitch Moreland","- - -","31.0 %","70.3 %","47.2 %","58.4 %","85.8 %","75.3 %","41.4 %","54.3 %","11.6 %","433",".200",".292","8.2 %","21.8 %","9.8","1880","3086"
"Cesar Hernandez","Phillies","22.8 %","63.9 %","41.6 %","61.1 %","89.1 %","80.8 %","45.7 %","58.2 %","8.0 %","518",".104",".350","11.0 %","18.9 %","15.4","2074","10556"
"Ryan Zimmerman","Nationals","30.3 %","60.3 %","43.2 %","64.5 %","87.0 %","78.0 %","43.0 %","58.5 %","9.5 %","363",".215",".283","7.4 %","21.4 %","9.5","1558","4220"
"J.T. Realmuto","Marlins","32.3 %","67.1 %","48.6 %","70.7 %","89.2 %","82.7 %","46.8 %","62.1 %","8.4 %","501",".161",".325","5.3 %","17.5 %","19.9","1894","11739"
"Jason Kipnis","Indians","27.9 %","62.3 %","43.5 %","66.6 %","90.5 %","82.1 %","45.3 %","55.5 %","7.7 %","489",".168",".310","8.9 %","19.2 %","15.7","2072","9776"
"Hanley Ramirez","Red Sox","31.9 %","70.4 %","48.4 %","63.8 %","87.4 %","78.5 %","42.8 %","60.7 %","10.3 %","422",".190",".284","8.1 %","19.0 %","9.3","1798","8001"
"Chris Davis","Orioles","29.6 %","65.6 %","44.7 %","50.1 %","77.3 %","66.8 %","41.8 %","60.3 %","14.8 %","419",".231",".287","11.9 %","33.8 %","17.6","2182","9272"
"Robbie Grossman","- - -","19.3 %","61.8 %","38.4 %","64.2 %","88.7 %","81.9 %","44.9 %","58.2 %","6.9 %","255",".138",".315","13.4 %","21.3 %","7.9","1171","5254"
"Devon Travis","Blue Jays","33.4 %","63.5 %","47.4 %","70.1 %","90.4 %","82.7 %","46.4 %","61.9 %","8.2 %","283",".166",".329","5.1 %","19.4 %","8.5","1071","13862"
"Seth Smith","- - -","25.1 %","59.7 %","40.2 %","61.4 %","86.6 %","77.8 %","43.9 %","55.0 %","8.9 %","277",".180",".293","10.4 %","21.1 %","14.8","1263","7331"
"Nick Markakis","Braves","25.0 %","61.4 %","41.2 %","81.5 %","91.9 %","88.4 %","44.5 %","56.1 %","4.8 %","625",".116",".325","10.2 %","13.8 %","16.8","2459","5930"
"Jean Segura","- - -","34.3 %","66.4 %","49.2 %","74.3 %","92.0 %","85.4 %","46.4 %","61.3 %","7.2 %","624",".132",".335","4.6 %","14.7 %","17.8","2243","5933"
"Carlos Beltran","- - -","31.2 %","66.3 %","46.4 %","68.6 %","91.1 %","82.6 %","43.3 %","59.5 %","8.1 %","403",".190",".293","6.9 %","17.6 %","13.8","1633","589"
"Prince Fielder","Rangers","32.8 %","69.7 %","47.4 %","63.8 %","91.3 %","79.8 %","39.6 %","55.2 %","9.5 %","256",".146",".293","9.0 %","14.2 %","4.6","1063","4613"
"Jed Lowrie","- - -","25.0 %","73.6 %","46.9 %","71.9 %","88.5 %","83.6 %","45.0 %","59.5 %","7.7 %","400",".156",".304","9.9 %","17.1 %","19.0","1683","4418"
"Todd Frazier","- - -","30.9 %","66.0 %","45.7 %","63.7 %","83.5 %","75.8 %","42.2 %","57.9 %","11.0 %","441",".226",".246","10.0 %","22.2 %","18.5","2180","785"
"Yonder Alonso","- - -","28.2 %","72.9 %","47.2 %","63.6 %","89.5 %","80.6 %","42.6 %","57.2 %","9.2 %","420",".157",".297","10.3 %","17.4 %","18.7","1791","2530"
"C.J. Cron","- - -","38.2 %","68.5 %","51.4 %","65.0 %","85.1 %","76.7 %","43.5 %","62.0 %","12.0 %","382",".194",".299","5.4 %","22.0 %","18.6","1598","12546"
"David Freese","- - -","28.0 %","63.5 %","44.2 %","61.5 %","85.5 %","77.2 %","45.5 %","58.4 %","10.1 %","383",".139",".340","9.0 %","24.7 %","11.9","1636","9549"
"Randal Grichuk","- - -","35.8 %","72.2 %","51.9 %","55.0 %","81.9 %","71.6 %","44.3 %","64.4 %","14.7 %","335",".243",".300","6.1 %","29.6 %","10.3","1490","10243"
"Evan Gattis","Astros","34.0 %","67.9 %","48.2 %","65.6 %","85.3 %","77.2 %","41.9 %","58.2 %","10.9 %","399",".230",".266","6.5 %","21.1 %","20.9","1748","11003"
"Tyler Flowers","- - -","27.6 %","70.5 %","47.2 %","56.3 %","83.5 %","74.8 %","45.7 %","61.8 %","11.9 %","275",".142",".336","8.3 %","25.9 %","7.0","1213","9134"
"Jackie Bradley Jr.","Red Sox","28.5 %","67.2 %","45.7 %","60.3 %","80.5 %","73.5 %","44.4 %","58.2 %","12.1 %","381",".189",".298","9.4 %","23.6 %","4.3","1752","12984"
"Jonathan Schoop","Orioles","40.8 %","78.6 %","56.9 %","58.0 %","84.0 %","73.3 %","42.7 %","63.3 %","15.2 %","501",".193",".309","3.9 %","21.5 %","10.7","1967","11265"
"Neil Walker","- - -","30.2 %","68.3 %","46.6 %","68.5 %","87.9 %","80.7 %","43.1 %","59.5 %","9.0 %","402",".163",".296","9.4 %","18.6 %","13.5","1725","7539"
"Adrian Gonzalez","- - -","33.5 %","73.6 %","50.0 %","66.6 %","87.3 %","79.2 %","41.2 %","56.0 %","10.3 %","415",".163",".301","8.6 %","17.6 %","16.2","1715","1908"
"Mark Trumbo","- - -","35.4 %","70.6 %","50.1 %","58.3 %","81.6 %","72.0 %","41.8 %","62.1 %","14.0 %","480",".210",".290","7.1 %","24.9 %","11.4","2070","6876"
"Marwin Gonzalez","Astros","32.8 %","62.2 %","45.5 %","63.8 %","87.5 %","77.8 %","43.1 %","60.3 %","10.1 %","425",".169",".320","6.8 %","21.3 %","18.7","1738","5497"
"Welington Castillo","- - -","28.2 %","60.9 %","43.5 %","57.6 %","85.6 %","75.9 %","46.8 %","60.7 %","10.4 %","318",".193",".314","6.5 %","25.9 %","1.9","1323","3256"
"Lonnie Chisenhall","Indians","38.7 %","73.3 %","53.5 %","72.7 %","89.3 %","82.4 %","42.7 %","60.7 %","9.3 %","287",".161",".318","6.9 %","18.0 %","4.7","1145","7571"
"Joe Mauer","Twins","22.9 %","53.2 %","37.1 %","76.0 %","91.6 %","86.5 %","46.7 %","57.7 %","5.0 %","512",".114",".318","11.6 %","15.2 %","8.2","2120","1857"
"Denard Span","- - -","25.5 %","63.5 %","43.0 %","76.0 %","94.2 %","88.4 %","45.9 %","58.0 %","5.0 %","434",".138",".299","8.8 %","12.6 %","12.1","1764","8347"
"Brett Gardner","Yankees","22.1 %","54.0 %","36.3 %","72.3 %","91.5 %","85.0 %","44.5 %","52.6 %","5.4 %","528",".138",".302","10.8 %","17.9 %","12.1","2340","9927"
"Ian Kinsler","- - -","27.2 %","66.7 %","45.4 %","74.5 %","93.2 %","87.2 %","46.1 %","60.6 %","5.8 %","564",".164",".283","7.2 %","13.6 %","11.3","2321","6195"
"Howie Kendrick","- - -","33.0 %","68.7 %","49.6 %","66.1 %","88.8 %","80.7 %","46.5 %","63.6 %","9.6 %","403",".129",".336","6.8 %","18.0 %","10.3","1532","4229"
"Avisail Garcia","White Sox","42.3 %","79.9 %","58.0 %","53.1 %","83.5 %","70.6 %","41.8 %","64.2 %","17.0 %","454",".151",".340","6.0 %","22.7 %","13.5","1763","5760"
"Yasmany Tomas","Diamondbacks","41.3 %","79.0 %","56.8 %","57.7 %","82.9 %","72.1 %","41.0 %","68.4 %","15.8 %","295",".194",".325","5.2 %","25.3 %","-2.9","1169","17171"
"Chris Carter","- - -","25.8 %","70.8 %","45.2 %","43.5 %","73.7 %","63.9 %","43.1 %","60.1 %","16.3 %","237",".242",".258","11.7 %","33.0 %","5.3","1312","9911"
"Brandon Guyer","- - -","29.3 %","71.4 %","48.6 %","69.4 %","84.9 %","79.8 %","45.7 %","62.4 %","9.8 %","223",".139",".291","6.7 %","18.1 %","6.9","1046","2636"
"Ryon Healy","- - -","36.0 %","61.8 %","47.1 %","59.7 %","87.9 %","75.7 %","43.2 %","60.0 %","11.5 %","311",".197",".311","3.9 %","22.8 %","9.4","1206","15447"
"Jedd Gyorko","- - -","30.9 %","70.1 %","48.5 %","58.6 %","85.5 %","76.0 %","44.7 %","60.8 %","11.6 %","369",".194",".285","8.2 %","22.4 %","10.2","1610","10816"
"Evan Longoria","- - -","33.1 %","68.0 %","48.7 %","67.4 %","85.6 %","78.7 %","44.5 %","61.9 %","10.3 %","559",".192",".294","6.5 %","19.2 %","18.9","2302","9368"
"Aledmys Diaz","- - -","33.5 %","70.4 %","49.9 %","67.0 %","89.2 %","80.9 %","44.5 %","61.1 %","9.5 %","250",".172",".287","6.4 %","13.6 %","3.7","1003","15937"
