"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","H","ISO","BABIP","BB%","K%","Bat","PA","playerid"
"Ian Desmond","- - -","31.5 %","68.0 %","47.9 %","56.4 %","82.8 %","73.2 %","44.9 %","64.3 %","12.8 %","485",".158",".323","7.0 %","25.7 %","-27.7","2061","6885"
"Maikel Franco","Phillies","33.2 %","73.8 %","50.7 %","63.9 %","86.6 %","78.2 %","43.2 %","61.5 %","11.0 %","440",".185",".263","6.8 %","15.5 %","-13.9","1891","12179"
"Albert Pujols","Angels","33.2 %","64.4 %","47.0 %","71.7 %","91.9 %","83.9 %","44.2 %","56.4 %","7.5 %","536",".189",".244","6.7 %","12.6 %","0.5","2315","1177"
"Jayson Werth","Nationals","23.9 %","54.4 %","38.2 %","66.7 %","86.8 %","80.1 %","46.8 %","58.0 %","7.6 %","258",".169",".274","11.3 %","22.9 %","-9.6","1273","1327"
"Martin Prado","Marlins","26.5 %","52.9 %","39.2 %","78.1 %","95.4 %","89.4 %","48.2 %","63.2 %","4.1 %","390",".104",".314","6.8 %","12.0 %","-3.4","1488","3312"
"Brandon Phillips","- - -","40.4 %","75.5 %","56.0 %","68.9 %","90.6 %","81.9 %","44.5 %","64.2 %","10.1 %","496",".119",".312","3.6 %","11.5 %","-12.5","1811","791"
"Austin Jackson","- - -","25.2 %","63.3 %","43.2 %","61.9 %","86.7 %","79.1 %","47.4 %","60.0 %","9.0 %","302",".116",".355","7.7 %","23.7 %","-2.4","1213","9848"
"Stephen Vogt","- - -","31.8 %","59.4 %","43.8 %","73.9 %","90.5 %","83.7 %","43.6 %","58.1 %","7.1 %","304",".173",".275","8.3 %","17.5 %","-4.0","1346","5000"
"Luis Valbuena","- - -","26.7 %","69.2 %","45.3 %","61.6 %","81.3 %","74.8 %","43.8 %","56.5 %","11.4 %","293",".202",".254","10.4 %","25.5 %","-0.7","1504","4969"
"Kole Calhoun","Angels","30.6 %","73.5 %","48.9 %","57.6 %","85.7 %","75.6 %","42.6 %","61.8 %","11.9 %","509",".157",".288","8.8 %","20.9 %","-1.9","2291","11200"
"Starlin Castro","- - -","34.6 %","68.5 %","49.6 %","66.0 %","87.8 %","79.4 %","44.4 %","60.2 %","10.2 %","546",".137",".320","4.7 %","18.3 %","-11.4","2082","4579"
"Andrelton Simmons","- - -","27.6 %","66.8 %","46.0 %","79.1 %","93.0 %","88.6 %","47.0 %","63.9 %","5.2 %","533",".107",".295","6.9 %","8.2 %","-4.5","2070","10847"
"Colby Rasmus","- - -","28.7 %","71.5 %","47.3 %","46.5 %","79.3 %","68.0 %","43.4 %","63.2 %","15.1 %","219",".204",".288","9.3 %","31.4 %","-1.5","1080","9893"
"Cameron Maybin","- - -","24.7 %","60.5 %","41.0 %","61.5 %","89.6 %","80.4 %","45.6 %","60.5 %","8.0 %","390",".109",".319","9.7 %","19.0 %","-7.8","1654","5223"
"Max Kepler","Twins","28.4 %","62.4 %","43.2 %","63.9 %","90.5 %","80.6 %","43.7 %","57.3 %","8.4 %","291",".183",".262","9.5 %","19.2 %","-12.2","1388","12144"
"Kevin Kiermaier","Rays","30.4 %","69.1 %","47.4 %","65.2 %","84.3 %","77.4 %","43.8 %","60.1 %","10.7 %","353",".157",".302","7.1 %","20.7 %","-3.1","1526","11038"
"Brandon Moss","- - -","32.3 %","73.0 %","49.7 %","51.0 %","79.6 %","68.9 %","42.6 %","59.9 %","15.4 %","274",".219",".267","9.0 %","30.0 %","-9.6","1391","4467"
"Carlos Gomez","- - -","38.3 %","77.6 %","54.8 %","59.9 %","82.0 %","73.0 %","41.9 %","65.4 %","14.7 %","359",".165",".309","6.9 %","26.6 %","-10.6","1661","4881"
"Kurt Suzuki","- - -","33.0 %","67.7 %","49.0 %","75.1 %","92.7 %","86.3 %","46.3 %","57.9 %","6.7 %","330",".149",".270","5.8 %","12.3 %","-11.6","1408","8259"
"Jhonny Peralta","Cardinals","30.7 %","74.4 %","49.1 %","66.0 %","87.4 %","79.7 %","42.2 %","57.7 %","9.9 %","245",".132",".303","7.3 %","17.8 %","-4.8","1011","1738"
"Addison Russell","Cubs","30.7 %","71.0 %","48.7 %","57.0 %","82.2 %","73.4 %","44.6 %","61.2 %","12.9 %","404",".159",".304","8.6 %","24.1 %","-18.7","1837","14106"
"Kolten Wong","Cardinals","30.1 %","69.5 %","47.1 %","69.7 %","89.4 %","82.3 %","43.1 %","58.1 %","8.3 %","371",".127",".289","7.8 %","15.1 %","-10.7","1652","12532"
"Rougned Odor","Rangers","38.2 %","69.2 %","51.2 %","65.4 %","87.7 %","78.0 %","41.8 %","60.0 %","11.2 %","454",".201",".272","4.7 %","22.0 %","-27.0","2015","12282"
"Chase Headley","- - -","26.0 %","66.2 %","43.6 %","59.5 %","87.2 %","77.9 %","43.7 %","58.9 %","9.6 %","413",".121",".317","9.2 %","22.3 %","-14.8","1817","4720"
"Chris Iannetta","- - -","20.9 %","70.1 %","44.1 %","51.6 %","81.6 %","74.1 %","47.1 %","61.1 %","11.4 %","226",".170",".270","11.9 %","26.0 %","-14.1","1193","8267"
"Brock Holt","Red Sox","24.5 %","56.5 %","39.2 %","75.2 %","94.2 %","87.8 %","46.0 %","59.7 %","4.8 %","283",".099",".323","9.3 %","18.6 %","-13.8","1209","9345"
"Tim Beckham","- - -","33.6 %","69.6 %","49.9 %","52.8 %","78.6 %","69.1 %","45.2 %","63.0 %","15.4 %","276",".170",".333","6.2 %","29.6 %","-7.8","1190","7949"
"Jon Jay","- - -","35.2 %","68.0 %","50.0 %","68.5 %","90.4 %","82.0 %","45.2 %","64.3 %","9.0 %","359",".079",".337","6.9 %","17.8 %","-13.5","1465","5227"
"Josh Harrison","Pirates","37.3 %","72.2 %","53.9 %","74.5 %","84.8 %","81.1 %","47.4 %","63.4 %","10.2 %","450",".119",".314","4.3 %","15.7 %","-16.6","1775","8202"
"Marcus Semien","Athletics","26.4 %","66.0 %","44.7 %","62.8 %","86.3 %","78.8 %","46.2 %","58.9 %","9.5 %","462",".156",".294","8.0 %","21.5 %","-12.1","2036","12533"
"Dee Gordon","- - -","37.2 %","66.7 %","51.3 %","76.4 %","92.6 %","86.5 %","47.8 %","64.1 %","6.9 %","595",".072",".352","3.6 %","14.1 %","-15.8","2075","8203"
"Jacoby Ellsbury","Yankees","27.4 %","66.8 %","45.7 %","68.9 %","91.4 %","84.2 %","46.6 %","62.1 %","7.2 %","355",".110",".299","8.5 %","15.2 %","-16.3","1536","4727"
"Cory Spangenberg","Padres","32.2 %","67.5 %","48.1 %","58.5 %","85.0 %","75.2 %","45.0 %","65.2 %","11.9 %","253",".136",".335","6.7 %","25.6 %","-8.7","1079","12294"
