"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","H","ISO","BABIP","BB%","K%","Bat","PA","playerid"
"Jacque Jones","- - -","28.7 %","76.8 %","52.2 %","48.2 %","82.4 %","72.8 %","49.0 %","45.8 %","14.1 %","1179",".172",".314","6.4 %","19.1 %","-17.4","4646","735"
"Bobby Kielty","- - -","17.7 %","64.9 %","41.0 %","49.5 %","84.9 %","77.2 %","49.5 %","53.0 %","9.3 %","456",".154",".291","11.8 %","17.9 %","1.2","2084","736"
"Barry Larkin","Reds","16.7 %","69.9 %","45.7 %","64.1 %","90.1 %","85.8 %","54.5 %","36.7 %","6.5 %","456",".132",".295","9.5 %","9.9 %","-11.7","1850","335"
"Jason Michaels","- - -","19.0 %","64.4 %","42.4 %","54.6 %","87.0 %","79.9 %","51.5 %","57.6 %","8.5 %","582",".148",".313","9.4 %","18.9 %","-2.9","2460","1399"
"Todd Pratt","- - -","18.6 %","67.3 %","43.3 %","37.2 %","77.7 %","69.1 %","50.6 %","38.5 %","13.2 %","248",".151",".312","12.7 %","24.3 %","-3.0","1191","968"
"Matthew LeCroy","- - -","23.8 %","73.3 %","48.9 %","46.2 %","81.0 %","72.7 %","50.7 %","48.7 %","13.3 %","361",".180",".299","8.0 %","21.6 %","-3.2","1539","1456"
"Edgar Renteria","- - -","20.7 %","68.4 %","45.9 %","66.5 %","89.3 %","84.5 %","52.9 %","48.1 %","7.1 %","1641",".123",".315","8.1 %","12.3 %","-11.9","6338","1178"
"Lew Ford","Twins","23.4 %","61.3 %","42.1 %","67.3 %","91.7 %","84.8 %","49.4 %","58.8 %","6.4 %","412",".129",".302","8.6 %","13.8 %","-0.3","1716","1724"
"Jason Lane","- - -","22.9 %","73.1 %","48.6 %","52.0 %","84.1 %","76.7 %","51.2 %","58.5 %","11.3 %","291",".216",".254","9.0 %","18.9 %","-4.4","1363","1397"
"Tyler Houston","- - -","23.6 %","74.2 %","50.4 %","40.7 %","84.8 %","75.0 %","52.9 %","26.6 %","12.5 %","256",".183",".318","5.6 %","21.3 %","-4.4","1009","689"
"Esteban German","- - -","15.9 %","58.5 %","38.6 %","60.8 %","91.3 %","85.5 %","53.4 %","58.6 %","5.6 %","279",".103",".333","10.0 %","16.1 %","-3.5","1157","1449"
"Michael Tucker","- - -","16.4 %","69.2 %","44.2 %","43.8 %","83.8 %","76.8 %","52.6 %","41.5 %","10.3 %","596",".167",".295","11.1 %","19.4 %","-14.9","2732","635"
"Gregg Zaun","- - -","16.9 %","63.9 %","41.3 %","67.3 %","91.5 %","86.7 %","51.9 %","47.5 %","5.5 %","695",".143",".278","12.0 %","13.8 %","-15.5","3146","580"
"Jeff DaVanon","- - -","16.0 %","65.7 %","41.5 %","58.4 %","88.4 %","82.8 %","51.3 %","55.4 %","7.2 %","329",".140",".299","12.3 %","17.6 %","-0.5","1483","1440"
"Fernando Tatis","- - -","26.0 %","70.1 %","47.8 %","54.5 %","83.9 %","75.8 %","49.4 %","41.8 %","11.5 %","443",".169",".295","9.4 %","20.7 %","-7.8","2009","798"
"Brady Clark","- - -","17.6 %","62.7 %","41.5 %","66.4 %","91.9 %","86.8 %","53.0 %","54.4 %","5.5 %","559",".109",".300","9.0 %","10.9 %","-9.6","2322","1398"
"Jorge Cantu","- - -","30.9 %","70.6 %","50.5 %","61.8 %","88.2 %","80.0 %","49.4 %","58.4 %","10.0 %","819",".172",".301","5.6 %","16.4 %","-4.7","3240","2521"
"Todd Zeile","- - -","12.6 %","53.2 %","34.2 %","60.7 %","88.7 %","83.8 %","53.1 %","30.0 %","5.5 %","574",".149",".286","11.4 %","16.3 %","-18.0","2552","457"
"Luis Castillo","- - -","13.0 %","54.6 %","35.2 %","78.2 %","95.7 %","92.7 %","53.5 %","45.3 %","2.6 %","1605",".062",".328","10.7 %","10.1 %","1.4","6260","513"
"Mark Kotsay","- - -","21.0 %","72.6 %","47.8 %","68.3 %","90.7 %","86.0 %","52.0 %","46.7 %","6.7 %","1349",".135",".299","8.3 %","10.8 %","1.5","5313","1042"
"Jacoby Ellsbury","Red Sox","24.9 %","58.7 %","42.2 %","73.7 %","94.8 %","88.7 %","51.3 %","59.8 %","4.7 %","399",".114",".320","6.7 %","11.8 %","-10.5","1513","4727"
"David Ross","- - -","21.6 %","71.8 %","47.0 %","44.6 %","79.0 %","71.1 %","50.6 %","60.0 %","13.4 %","320",".213",".275","11.0 %","25.5 %","-7.2","1603","1551"
"Jimmy Rollins","Phillies","19.9 %","63.6 %","42.7 %","67.3 %","93.1 %","87.3 %","52.0 %","50.3 %","5.4 %","1714",".163",".290","7.4 %","11.5 %","-30.5","6906","971"
"Joe Randa","- - -","17.7 %","65.3 %","43.0 %","67.2 %","91.3 %","86.7 %","53.2 %","38.8 %","5.7 %","981",".144",".300","6.9 %","11.9 %","-34.8","3859","623"
"Jeremy Hermida","- - -","23.7 %","61.9 %","42.5 %","53.9 %","88.4 %","78.7 %","49.2 %","57.4 %","9.0 %","500",".158",".314","9.5 %","22.3 %","-8.0","2168","7208"
"Mark Bellhorn","- - -","15.1 %","65.0 %","39.8 %","41.8 %","78.5 %","71.5 %","49.5 %","53.2 %","11.3 %","432",".169",".315","14.0 %","29.3 %","-7.6","2214","264"
"Rocco Baldelli","- - -","28.3 %","69.1 %","49.4 %","50.8 %","85.5 %","76.0 %","51.8 %","60.2 %","11.9 %","531",".165",".319","4.9 %","18.8 %","-3.9","2065","1656"
"Chris Young","Diamondbacks","20.5 %","58.8 %","39.5 %","53.7 %","84.8 %","76.7 %","49.6 %","57.4 %","9.2 %","549",".201",".281","9.5 %","23.2 %","-24.7","2566","3882"
"Delino DeShields","- - -","11.5 %","64.0 %","39.1 %","51.4 %","81.6 %","77.4 %","52.5 %","7.5 %","8.8 %","276",".134",".302","12.1 %","16.0 %","-5.0","1234","275"
"Chone Figgins","- - -","16.3 %","61.3 %","39.9 %","66.9 %","91.2 %","86.5 %","52.5 %","57.8 %","5.4 %","1201",".090",".337","10.2 %","15.2 %","4.1","4777","1580"
"Reed Johnson","- - -","28.0 %","62.0 %","46.2 %","61.2 %","88.1 %","80.5 %","53.4 %","58.9 %","9.0 %","781",".127",".328","5.1 %","17.2 %","-15.6","3077","1702"
"Jeff Cirillo","- - -","18.0 %","68.4 %","45.8 %","53.8 %","92.2 %","85.4 %","55.1 %","33.8 %","6.8 %","734",".120",".305","8.0 %","11.0 %","-44.7","2918","1073"
"Asdrubal Cabrera","Indians","24.8 %","65.3 %","45.4 %","70.6 %","90.7 %","85.3 %","50.8 %","60.0 %","6.7 %","402",".110",".332","8.2 %","15.8 %","1.3","1610","4962"
"Chris Richard","- - -","20.2 %","69.8 %","44.8 %","50.6 %","86.1 %","78.0 %","49.5 %","11.6 %","9.8 %","229",".190",".282","8.1 %","18.2 %","0.0","1006","163"
"Scott Spiezio","- - -","18.9 %","71.4 %","45.7 %","61.1 %","90.3 %","84.4 %","51.1 %","42.7 %","7.1 %","691",".169",".275","9.6 %","13.9 %","-6.2","3044","37"
"Delmon Young","- - -","39.0 %","81.6 %","59.9 %","58.4 %","85.7 %","76.6 %","49.1 %","64.2 %","13.9 %","675",".143",".333","4.1 %","17.4 %","-2.0","2464","2140"
"Mike Fontenot","- - -","24.5 %","65.2 %","44.1 %","66.9 %","87.6 %","81.7 %","48.2 %","57.0 %","8.0 %","296",".141",".316","8.8 %","17.7 %","-9.3","1229","3912"
"Jody Gerut","- - -","18.7 %","64.5 %","42.1 %","64.1 %","91.1 %","85.2 %","51.1 %","57.2 %","6.2 %","472",".172",".276","8.0 %","13.1 %","3.0","1992","1696"
"Lee Stevens","- - -","20.4 %","76.4 %","48.7 %","35.9 %","78.6 %","69.8 %","50.6 %","16.4 %","14.6 %","325",".201",".277","11.4 %","22.7 %","-15.2","1546","796"
"Matt Williams","Diamondbacks","18.2 %","77.9 %","48.7 %","38.1 %","83.1 %","74.8 %","51.0 %","17.5 %","12.2 %","303",".181",".285","6.4 %","15.3 %","-15.3","1227","77"
"Jay Gibbons","- - -","27.2 %","72.7 %","50.7 %","64.8 %","89.6 %","83.2 %","51.8 %","54.6 %","8.5 %","745",".194",".266","7.0 %","13.7 %","-0.4","3120","141"
"Eric Byrnes","- - -","25.0 %","67.2 %","46.5 %","67.1 %","89.0 %","83.2 %","51.0 %","58.9 %","7.8 %","827",".181",".279","7.1 %","15.2 %","-26.9","3531","905"
"Andres Torres","- - -","26.8 %","64.8 %","45.2 %","56.8 %","86.0 %","77.1 %","48.6 %","61.6 %","10.4 %","231",".179",".312","8.7 %","22.4 %","2.7","1025","1488"
"Chris Stynes","- - -","20.4 %","64.3 %","42.9 %","60.5 %","91.1 %","84.0 %","51.4 %","29.6 %","6.8 %","423",".141",".303","7.6 %","13.9 %","-21.8","1707","303"
"Aaron Hill","Blue Jays","23.2 %","68.3 %","46.7 %","61.6 %","91.5 %","84.4 %","52.2 %","58.9 %","7.3 %","792",".157",".288","6.7 %","13.2 %","-12.0","3213","6104"
"Keith Ginter","- - -","18.7 %","59.7 %","39.4 %","55.5 %","86.1 %","78.9 %","50.5 %","56.4 %","8.3 %","236",".179",".277","9.4 %","20.6 %","-5.4","1118","1500"
"Gabe Kapler","- - -","21.6 %","63.9 %","44.2 %","68.3 %","90.1 %","85.1 %","53.5 %","37.1 %","6.6 %","692",".145",".299","8.0 %","14.3 %","-26.7","2821","1256"
"Willy Aybar","- - -","21.5 %","62.8 %","41.4 %","71.5 %","91.1 %","85.8 %","48.1 %","56.3 %","5.8 %","315",".140",".285","10.2 %","14.8 %","0.4","1390","2192"
"Rick Ankiel","- - -","32.2 %","77.8 %","52.7 %","49.9 %","82.6 %","71.6 %","44.9 %","55.0 %","14.9 %","310",".195",".295","8.2 %","24.4 %","-3.7","1382","1142"
"Jhonny Peralta","- - -","24.8 %","70.0 %","47.1 %","53.8 %","85.4 %","76.9 %","49.3 %","56.9 %","10.8 %","961",".157",".313","8.6 %","21.1 %","-6.8","4071","1738"
"Ronnie Belliard","- - -","23.9 %","64.9 %","45.6 %","59.8 %","88.7 %","81.6 %","52.8 %","46.9 %","8.4 %","1241",".143",".301","8.3 %","14.5 %","-36.0","5105","677"
"Carlos Ruiz","Phillies","18.4 %","59.8 %","39.8 %","69.9 %","93.7 %","88.4 %","51.7 %","56.0 %","4.5 %","379",".136",".280","11.4 %","11.1 %","-11.7","1692","2579"
"Howie Kendrick","Angels","32.9 %","64.8 %","49.0 %","56.6 %","90.4 %","79.1 %","50.4 %","60.9 %","10.1 %","570",".131",".339","3.8 %","16.0 %","-1.7","2055","4229"
"Shea Hillenbrand","- - -","28.4 %","68.3 %","49.3 %","61.7 %","91.8 %","83.6 %","52.4 %","49.9 %","8.1 %","1014",".156",".299","3.7 %","12.2 %","-29.1","3816","196"
"Mike Aviles","Royals","31.6 %","67.8 %","50.1 %","72.8 %","90.8 %","85.3 %","51.3 %","65.6 %","7.3 %","287",".124",".328","4.1 %","13.1 %","-3.2","1016","5986"
"Freddy Sanchez","- - -","30.8 %","66.4 %","49.4 %","72.5 %","93.1 %","86.9 %","52.1 %","61.0 %","6.4 %","943",".116",".324","4.9 %","11.2 %","-13.9","3425","1624"
"Alexei Ramirez","White Sox","35.4 %","70.0 %","52.2 %","69.0 %","90.6 %","83.1 %","48.5 %","62.7 %","8.8 %","454",".147",".294","5.4 %","12.0 %","-12.9","1741","5133"
"Tadahito Iguchi","- - -","19.3 %","68.5 %","45.0 %","52.3 %","86.0 %","79.0 %","52.1 %","57.2 %","9.4 %","494",".133",".316","9.1 %","18.6 %","-14.4","2079","8581"
"Paul Lo Duca","- - -","19.8 %","66.3 %","45.1 %","77.1 %","94.1 %","90.7 %","54.4 %","48.5 %","4.2 %","1086",".123",".291","6.1 %","6.8 %","-7.9","4178","662"
"Brian Jordan","- - -","23.9 %","77.1 %","52.5 %","43.4 %","86.1 %","77.1 %","53.7 %","31.9 %","11.9 %","620",".161",".295","6.5 %","15.6 %","-15.1","2495","658"
"Aaron Boone","- - -","24.7 %","70.9 %","48.5 %","50.9 %","86.3 %","77.6 %","51.6 %","48.9 %","10.8 %","822",".166",".285","7.2 %","16.5 %","-26.3","3554","311"
"Adam Jones","- - -","36.3 %","71.2 %","53.2 %","59.9 %","83.3 %","75.1 %","48.4 %","62.8 %","13.2 %","457",".153",".321","4.9 %","20.2 %","-11.0","1801","6368"
"Ryan Freel","- - -","16.5 %","60.8 %","39.8 %","60.9 %","91.3 %","85.3 %","52.6 %","57.7 %","5.9 %","532",".101",".316","9.8 %","15.4 %","-24.0","2274","1207"
"Skip Schumaker","Cardinals","28.2 %","65.3 %","46.7 %","75.0 %","94.2 %","88.4 %","49.9 %","59.9 %","5.4 %","525",".092",".322","7.9 %","11.1 %","-3.7","1983","3704"
"Ramon Hernandez","- - -","21.5 %","66.9 %","45.1 %","65.3 %","89.6 %","84.0 %","52.0 %","47.4 %","7.2 %","1173",".154",".278","7.6 %","13.0 %","-23.1","4964","918"
"Juan Encarnacion","- - -","24.9 %","70.5 %","49.1 %","49.3 %","87.0 %","78.0 %","53.0 %","44.9 %","10.8 %","1073",".166",".296","6.1 %","16.0 %","-21.4","4344","320"
"Tony Graffanino","- - -","18.1 %","61.5 %","41.3 %","61.1 %","91.5 %","85.3 %","53.5 %","50.7 %","6.0 %","588",".125",".304","8.7 %","13.9 %","-22.5","2429","235"
"Mark Ellis","Athletics","21.9 %","59.8 %","42.1 %","65.2 %","92.3 %","85.7 %","53.2 %","60.0 %","6.0 %","968",".136",".293","8.3 %","13.4 %","-7.8","4063","1443"
"Jay Bell","- - -","16.0 %","55.9 %","37.0 %","43.1 %","84.1 %","75.7 %","52.6 %","8.1 %","9.0 %","286",".146",".274","11.9 %","15.8 %","-20.8","1356","48"
"Mark Teahen","- - -","27.2 %","68.2 %","47.8 %","56.3 %","85.9 %","77.5 %","50.2 %","58.3 %","10.7 %","727",".147",".328","8.1 %","21.2 %","-21.8","2994","4511"
"J.J. Hardy","- - -","22.2 %","55.2 %","39.3 %","65.7 %","91.1 %","84.2 %","51.9 %","55.9 %","6.2 %","634",".161",".281","8.1 %","14.3 %","-16.5","2673","3797"
"Jason Bartlett","- - -","23.0 %","63.8 %","44.2 %","62.7 %","92.1 %","84.8 %","52.0 %","60.5 %","6.7 %","702",".105",".322","7.7 %","14.2 %","-5.2","2801","8219"
"Eli Marrero","- - -","20.8 %","68.4 %","46.2 %","55.9 %","82.3 %","76.8 %","53.3 %","45.6 %","10.7 %","329",".192",".276","8.3 %","18.0 %","-10.2","1451","1166"
"Jay Payton","- - -","27.8 %","71.3 %","50.8 %","66.9 %","91.9 %","85.4 %","52.8 %","50.7 %","7.4 %","1148",".147",".291","5.7 %","11.1 %","-42.6","4458","890"
"Daryle Ward","- - -","25.9 %","69.6 %","47.8 %","57.9 %","87.3 %","79.3 %","50.2 %","44.0 %","9.7 %","546",".183",".284","7.9 %","16.9 %","-24.0","2297","579"
"Eric Young","- - -","13.9 %","62.7 %","40.0 %","67.8 %","94.1 %","89.8 %","53.5 %","32.6 %","4.1 %","772",".109",".287","8.7 %","7.0 %","-29.1","3180","716"
"Coco Crisp","- - -","19.7 %","63.7 %","43.1 %","65.2 %","91.2 %","85.6 %","53.2 %","60.3 %","6.2 %","941",".133",".306","7.6 %","13.3 %","-22.3","3779","1572"
"Travis Lee","- - -","19.2 %","71.1 %","46.2 %","53.3 %","87.0 %","80.3 %","52.0 %","37.6 %","9.0 %","718",".154",".287","10.5 %","16.8 %","-21.7","3167","958"
"Wily Mo Pena","- - -","32.4 %","76.4 %","53.0 %","34.2 %","76.9 %","63.1 %","46.9 %","66.8 %","19.5 %","402",".194",".325","6.1 %","30.1 %","-17.6","1725","344"
"Bill Hall","- - -","25.0 %","66.6 %","46.0 %","51.9 %","81.6 %","73.7 %","50.7 %","59.3 %","12.1 %","786",".193",".310","7.8 %","26.0 %","-29.0","3461","1605"
"B.J. Surhoff","- - -","22.9 %","68.3 %","46.4 %","71.0 %","92.6 %","87.5 %","51.8 %","29.9 %","5.8 %","588",".124",".300","7.0 %","9.7 %","-16.8","2256","117"
"Mark Sweeney","- - -","17.3 %","68.1 %","42.6 %","50.7 %","85.6 %","78.5 %","49.8 %","46.9 %","9.1 %","296",".148",".304","12.0 %","21.8 %","-15.7","1387","1408"
"D'Angelo Jimenez","- - -","12.7 %","59.7 %","36.6 %","69.4 %","92.2 %","88.3 %","51.0 %","46.4 %","4.3 %","560",".115",".304","11.7 %","15.8 %","-18.2","2457","1038"
"Dustan Mohr","- - -","22.2 %","72.3 %","47.6 %","42.2 %","80.0 %","71.3 %","50.8 %","55.7 %","13.6 %","340",".173",".312","9.2 %","25.6 %","-15.1","1537","744"
"Brandon Phillips","- - -","30.6 %","74.3 %","52.7 %","56.6 %","87.9 %","78.9 %","50.5 %","63.5 %","11.1 %","903",".163",".286","5.9 %","14.6 %","-40.8","3691","791"
"Fernando Vina","- - -","22.6 %","67.4 %","46.1 %","74.2 %","95.5 %","90.5 %","52.5 %","27.6 %","4.4 %","596",".096",".294","5.6 %","6.0 %","-20.8","2352","1189"
"Alex Gordon","Royals","23.7 %","69.4 %","45.8 %","53.1 %","84.8 %","76.3 %","48.3 %","60.6 %","10.8 %","352",".161",".294","9.9 %","22.0 %","-13.9","1642","5209"
"Mike Lamb","- - -","22.3 %","71.8 %","47.7 %","61.6 %","88.6 %","82.5 %","51.4 %","40.1 %","8.3 %","746",".139",".300","7.6 %","13.7 %","-38.7","2989","1258"
"Mark McLemore","- - -","11.4 %","61.5 %","36.3 %","53.4 %","87.3 %","82.0 %","49.8 %","26.5 %","6.6 %","460",".095",".303","13.7 %","15.5 %","-11.4","2119","1088"
"Gary Matthews Jr.","- - -","20.5 %","65.1 %","42.9 %","54.2 %","87.4 %","79.5 %","50.1 %","49.1 %","8.8 %","1048",".149",".299","9.7 %","18.4 %","-41.6","4572","153"
"A.J. Pierzynski","- - -","35.7 %","80.0 %","58.6 %","68.9 %","90.2 %","84.0 %","51.7 %","56.9 %","9.3 %","1370",".140",".301","4.0 %","11.3 %","-54.1","5172","746"
"Felipe Lopez","- - -","19.9 %","59.2 %","39.6 %","60.5 %","89.8 %","82.5 %","50.2 %","55.0 %","6.9 %","1116",".129",".316","9.3 %","18.6 %","-44.5","4711","1311"
"Rickey Henderson","- - -","10.4 %","58.8 %","34.8 %","48.6 %","88.6 %","82.7 %","50.5 %","13.2 %","6.0 %","239",".102",".270","16.9 %","17.2 %","-10.8","1290","194"
"Maicer Izturis","- - -","20.7 %","58.2 %","39.9 %","73.9 %","95.1 %","89.7 %","51.2 %","54.8 %","4.1 %","516",".115",".295","8.6 %","10.0 %","-14.2","2100","2437"
"Jeff Keppinger","- - -","19.4 %","58.6 %","39.7 %","79.8 %","96.4 %","92.5 %","51.8 %","57.6 %","2.9 %","477",".109",".288","7.6 %","6.3 %","-16.7","1887","3856"
"Akinori Iwamura","- - -","17.0 %","67.3 %","42.2 %","57.9 %","85.3 %","79.8 %","50.1 %","54.9 %","8.5 %","413",".107",".328","10.4 %","18.8 %","-8.2","1755","7781"
"Wil Cordero","- - -","23.9 %","67.9 %","45.3 %","55.7 %","85.4 %","77.3 %","48.6 %","29.0 %","10.2 %","387",".154",".294","7.7 %","17.0 %","-23.7","1639","770"
"Aaron Guiel","- - -","19.8 %","64.0 %","43.0 %","53.5 %","86.1 %","78.9 %","52.4 %","57.8 %","9.0 %","239",".168",".280","7.6 %","19.8 %","-14.8","1099","1503"
"Ryan Sweeney","- - -","24.7 %","62.1 %","43.2 %","76.7 %","93.0 %","88.3 %","49.3 %","56.2 %","5.0 %","358",".100",".324","7.7 %","13.5 %","-6.2","1382","6352"
"Chase Headley","Padres","24.3 %","66.8 %","44.3 %","55.1 %","86.5 %","77.4 %","47.1 %","58.5 %","10.0 %","396",".126",".332","9.0 %","22.7 %","4.2","1675","4720"
"Ross Gload","- - -","26.0 %","74.6 %","51.3 %","66.6 %","91.1 %","85.1 %","51.9 %","57.8 %","7.5 %","441",".131",".303","6.1 %","11.8 %","-19.7","1701","1538"
"Joe Crede","- - -","26.8 %","75.4 %","52.8 %","63.1 %","87.5 %","81.7 %","53.4 %","59.9 %","9.6 %","787",".190",".255","5.9 %","13.6 %","-40.8","3377","227"
"Marvin Benard","Giants","26.6 %","74.3 %","53.3 %","58.1 %","86.9 %","80.6 %","56.1 %","10.4 %","10.6 %","300",".144",".293","8.1 %","15.6 %","-13.5","1271","1382"
"Mark Grudzielanek","- - -","26.2 %","68.2 %","48.8 %","63.5 %","91.7 %","84.7 %","53.9 %","45.0 %","7.4 %","1277",".108",".324","5.1 %","12.8 %","-40.4","4751","653"
"Mike Bordick","- - -","16.7 %","61.9 %","41.0 %","62.8 %","90.2 %","85.0 %","53.8 %","27.6 %","6.1 %","402",".139",".293","7.9 %","15.2 %","-16.6","1693","129"
"Jason Kendall","- - -","19.0 %","56.8 %","39.7 %","74.7 %","94.2 %","89.9 %","54.7 %","45.2 %","4.0 %","1660",".076",".300","8.2 %","7.8 %","-68.7","6698","993"
"Ricky Gutierrez","- - -","20.4 %","68.4 %","47.7 %","55.4 %","92.0 %","85.2 %","56.9 %","20.3 %","7.0 %","409",".098",".297","8.1 %","10.6 %","-19.5","1700","387"
"Rob Mackowiak","- - -","26.4 %","74.3 %","50.4 %","53.2 %","82.0 %","74.4 %","50.1 %","54.5 %","12.8 %","603",".145",".317","8.7 %","22.4 %","-30.9","2622","995"
"Shane Spencer","- - -","17.2 %","69.1 %","44.7 %","51.4 %","85.7 %","79.5 %","52.9 %","37.4 %","9.2 %","365",".149",".299","8.2 %","18.8 %","-15.5","1568","848"
"Ruben Sierra","- - -","22.7 %","69.6 %","46.3 %","53.2 %","87.9 %","79.4 %","50.2 %","42.6 %","9.4 %","429",".180",".276","6.7 %","15.6 %","-15.3","1773","1099"
"Marco Scutaro","- - -","16.2 %","60.2 %","39.5 %","80.3 %","94.4 %","91.7 %","52.9 %","59.8 %","3.3 %","901",".118",".290","9.2 %","11.8 %","-35.7","3798","1555"
"Scott Podsednik","- - -","18.1 %","55.1 %","37.1 %","75.7 %","93.1 %","89.0 %","51.5 %","57.2 %","4.1 %","1036",".101",".322","7.9 %","14.4 %","-53.4","4130","1095"
"Damian Miller","- - -","20.8 %","74.1 %","48.4 %","45.0 %","82.7 %","74.9 %","51.9 %","43.1 %","12.0 %","688",".146",".315","9.1 %","21.4 %","-46.3","2984","65"
"Emil Brown","- - -","23.0 %","71.6 %","47.9 %","51.7 %","85.9 %","77.9 %","51.3 %","52.5 %","10.5 %","552",".143",".300","7.9 %","18.0 %","-27.8","2341","1197"
"Scott Hairston","- - -","24.6 %","67.3 %","46.0 %","57.5 %","83.5 %","76.5 %","50.0 %","58.0 %","10.8 %","413",".190",".278","7.1 %","21.0 %","-15.1","1856","1926"
"Darin Erstad","- - -","24.3 %","61.4 %","44.2 %","59.0 %","91.0 %","82.8 %","53.8 %","38.5 %","7.6 %","1170",".114",".317","6.9 %","14.2 %","-47.3","4564","11"
"Al Martin","- - -","26.4 %","81.2 %","53.8 %","32.5 %","85.8 %","72.7 %","49.9 %","13.0 %","14.5 %","265",".145",".305","8.1 %","17.6 %","-10.9","1105","1167"
"Doug Mirabelli","- - -","18.0 %","67.0 %","44.0 %","36.0 %","80.0 %","71.6 %","53.1 %","38.4 %","12.5 %","306",".182",".277","9.9 %","25.0 %","-21.8","1509","202"
"Dave Roberts","- - -","14.2 %","55.5 %","36.7 %","68.4 %","94.1 %","89.5 %","54.5 %","57.1 %","4.0 %","687",".101",".301","10.1 %","11.8 %","-21.8","2936","670"
"Eric Karros","- - -","18.9 %","71.9 %","47.4 %","56.9 %","89.2 %","83.2 %","53.7 %","29.6 %","8.0 %","507",".162",".275","8.0 %","16.3 %","-20.9","2197","659"
"Julio Lugo","- - -","18.6 %","62.0 %","41.4 %","57.5 %","89.5 %","82.7 %","52.6 %","46.8 %","7.2 %","1273",".116",".313","8.2 %","16.4 %","-73.8","5290","565"
"Larry Bigbie","- - -","20.3 %","68.7 %","45.2 %","50.6 %","84.1 %","76.7 %","51.4 %","51.9 %","10.5 %","328",".128",".329","8.7 %","22.1 %","-12.7","1367","128"
"Juan Pierre","- - -","22.8 %","59.0 %","42.8 %","84.3 %","96.6 %","93.7 %","55.3 %","51.2 %","2.8 %","1842",".068",".315","5.7 %","5.6 %","-117.4","6800","443"
"Ken Harvey","Royals","27.9 %","72.3 %","49.9 %","56.0 %","84.1 %","76.2 %","49.6 %","57.1 %","11.8 %","273",".137",".317","5.6 %","18.6 %","-19.4","1078","604"
"Javier Valentin","- - -","25.9 %","71.3 %","48.3 %","59.3 %","88.8 %","80.8 %","49.2 %","56.4 %","9.2 %","291",".161",".279","8.0 %","15.0 %","-20.4","1232","759"
"Lastings Milledge","- - -","31.2 %","68.3 %","49.2 %","60.2 %","85.6 %","77.3 %","48.5 %","59.8 %","11.1 %","403",".125",".311","6.3 %","17.3 %","-17.3","1655","6441"
"Jamey Carroll","- - -","17.2 %","55.6 %","38.1 %","75.6 %","93.1 %","89.5 %","54.4 %","56.9 %","4.0 %","695",".073",".323","10.0 %","14.3 %","-44.1","2929","1591"
"Wes Helms","- - -","24.6 %","71.4 %","48.6 %","50.0 %","85.0 %","76.4 %","51.2 %","54.6 %","11.4 %","669",".153",".312","7.2 %","22.4 %","-39.7","2890","94"
"Luis Alicea","- - -","12.3 %","61.6 %","38.2 %","56.7 %","93.4 %","87.8 %","52.5 %","12.0 %","4.7 %","319",".095",".309","8.7 %","12.6 %","-31.1","1310","584"
"Gabe Gross","- - -","19.0 %","63.7 %","41.0 %","59.6 %","85.1 %","79.1 %","49.3 %","57.1 %","8.5 %","349",".146",".286","11.8 %","20.7 %","-18.0","1682","2184"
"Ramon Castro","- - -","21.0 %","64.1 %","43.3 %","51.3 %","83.3 %","75.8 %","51.7 %","50.3 %","10.4 %","310",".187",".275","9.2 %","23.3 %","-18.9","1450","514"
"Robert Fick","- - -","18.1 %","63.9 %","42.2 %","61.4 %","91.0 %","85.0 %","52.6 %","41.9 %","6.3 %","596",".142",".281","8.7 %","14.4 %","-26.3","2585","466"
"Ricky Ledee","- - -","16.9 %","65.1 %","41.1 %","43.0 %","85.6 %","76.9 %","50.1 %","33.7 %","9.4 %","406",".165",".278","10.8 %","20.3 %","-33.3","1940","1407"
"Craig Monroe","- - -","27.1 %","73.7 %","50.3 %","55.5 %","83.5 %","76.0 %","49.8 %","58.6 %","12.1 %","678",".189",".279","6.4 %","20.1 %","-32.7","2924","1464"
"Ryan Theriot","- - -","20.5 %","60.9 %","41.6 %","75.0 %","94.7 %","90.0 %","52.2 %","61.7 %","4.1 %","696",".072",".316","8.4 %","10.7 %","-47.0","2748","3811"
"Alberto Callaspo","- - -","25.1 %","68.7 %","46.3 %","82.5 %","95.3 %","91.7 %","48.5 %","55.8 %","3.8 %","428",".115",".290","6.9 %","7.6 %","-21.1","1672","3336"
"Chris Snyder","- - -","18.0 %","57.2 %","37.4 %","49.6 %","86.1 %","77.3 %","49.7 %","56.2 %","8.4 %","400",".166",".268","12.4 %","22.4 %","-40.6","2058","4606"
"Robb Quinlan","Angels","26.6 %","68.8 %","48.2 %","63.7 %","87.2 %","80.9 %","51.3 %","58.1 %","9.3 %","307",".125",".312","5.8 %","15.6 %","-13.4","1196","1779"
"Rajai Davis","- - -","30.4 %","66.5 %","48.5 %","65.5 %","90.1 %","82.4 %","49.9 %","61.9 %","8.5 %","375",".102",".326","5.9 %","15.1 %","-12.9","1455","3708"
"Damion Easley","- - -","21.1 %","62.9 %","42.8 %","58.8 %","90.6 %","83.0 %","51.9 %","35.5 %","7.2 %","654",".149",".265","8.2 %","13.9 %","-37.2","2995","464"
