"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","H","ISO","BABIP","BB%","K%","Bat","PA","playerid"
"Jason Kubel","Twins","24.7 %","65.8 %","44.2 %","63.3 %","87.3 %","80.2 %","47.4 %","55.6 %","8.7 %","594",".192",".299","8.9 %","18.2 %","28.6","2445","2161"
"Matt Murton","- - -","21.8 %","68.0 %","45.6 %","62.0 %","87.8 %","81.8 %","51.6 %","57.4 %","8.3 %","272",".150",".312","8.8 %","14.1 %","1.8","1058","6307"
"Daric Barton","Athletics","15.6 %","60.7 %","37.5 %","76.7 %","88.6 %","86.0 %","48.5 %","57.2 %","5.2 %","321",".139",".300","14.2 %","16.0 %","22.7","1485","5928"
"Edwin Encarnacion","- - -","24.9 %","69.0 %","46.4 %","59.6 %","88.3 %","80.4 %","48.8 %","58.8 %","9.0 %","580",".196",".280","8.9 %","17.8 %","13.2","2548","2151"
"Michael Cuddyer","Twins","27.2 %","63.1 %","44.6 %","58.6 %","88.2 %","78.9 %","48.5 %","57.6 %","9.4 %","956",".180",".305","9.1 %","17.9 %","43.3","3971","1534"
"Charles Johnson","- - -","22.8 %","76.4 %","49.2 %","42.7 %","79.1 %","70.5 %","49.2 %","31.8 %","14.4 %","461",".210",".294","10.9 %","23.3 %","4.1","2085","523"
"Brad Wilkerson","- - -","17.7 %","62.8 %","40.1 %","58.3 %","78.9 %","74.3 %","49.6 %","53.4 %","10.2 %","788",".193",".311","13.1 %","25.2 %","22.5","3753","804"
"Ryan Garko","- - -","24.9 %","67.1 %","46.2 %","65.9 %","88.3 %","82.4 %","50.5 %","59.0 %","8.1 %","427",".159",".300","7.1 %","15.5 %","17.9","1752","6319"
"Carl Everett","- - -","25.9 %","75.6 %","51.4 %","50.7 %","83.0 %","75.1 %","51.3 %","41.6 %","12.7 %","771",".197",".290","7.8 %","17.9 %","17.6","3230","1249"
"Marcus Giles","- - -","19.5 %","75.8 %","49.4 %","57.5 %","85.2 %","80.1 %","53.1 %","55.5 %","9.8 %","813",".152",".313","9.5 %","15.7 %","28.2","3340","89"
"Conor Jackson","- - -","18.8 %","60.8 %","39.6 %","68.6 %","93.3 %","87.4 %","49.7 %","55.6 %","5.0 %","505",".144",".293","10.5 %","11.4 %","1.4","2095","5997"
"Todd Walker","- - -","17.4 %","70.2 %","46.3 %","68.6 %","92.0 %","88.0 %","54.7 %","42.9 %","5.5 %","943",".152",".303","8.5 %","10.5 %","4.1","3628","359"
"Hee Seop Choi","- - -","17.9 %","72.2 %","44.8 %","40.0 %","80.1 %","72.0 %","49.6 %","56.7 %","12.5 %","220",".197",".290","13.0 %","24.1 %","10.7","1086","270"
"Marcus Thames","- - -","26.6 %","75.3 %","50.9 %","54.9 %","80.3 %","73.7 %","49.9 %","60.0 %","13.4 %","437",".242",".277","8.0 %","25.4 %","14.5","1946","1523"
"Adam Lind","Blue Jays","29.9 %","66.6 %","47.6 %","67.1 %","87.5 %","80.9 %","48.2 %","59.0 %","9.1 %","497",".202",".303","6.7 %","19.6 %","18.1","1992","8027"
"Steve Finley","- - -","18.7 %","63.6 %","42.5 %","62.0 %","89.6 %","83.9 %","53.1 %","39.8 %","6.8 %","962",".195",".274","9.2 %","13.1 %","6.8","4059","54"
"Edgardo Alfonzo","- - -","19.1 %","69.6 %","46.1 %","66.9 %","90.8 %","86.2 %","53.5 %","38.0 %","6.3 %","834",".142",".286","10.2 %","9.0 %","28.6","3390","859"
"Brian Daubach","- - -","19.1 %","70.6 %","44.9 %","41.3 %","84.7 %","75.5 %","50.0 %","26.7 %","10.9 %","410",".206",".299","10.7 %","23.8 %","7.5","1866","186"
"Bobby Higginson","Tigers","14.9 %","65.1 %","40.2 %","72.5 %","90.8 %","87.4 %","50.3 %","30.9 %","5.1 %","676",".166",".282","11.2 %","12.8 %","31.2","2909","469"
"Austin Kearns","- - -","18.7 %","68.7 %","43.6 %","49.9 %","83.8 %","76.5 %","49.8 %","56.7 %","10.2 %","843",".166",".305","11.3 %","21.0 %","26.2","3799","332"
"Ivan Rodriguez","- - -","35.0 %","77.5 %","56.8 %","61.5 %","85.9 %","78.6 %","51.3 %","52.3 %","12.1 %","1484",".171",".328","5.0 %","16.3 %","38.8","5370","1275"
"Doug Mientkiewicz","- - -","16.5 %","64.4 %","41.0 %","62.9 %","94.3 %","88.2 %","51.2 %","43.6 %","4.8 %","819",".138",".301","11.4 %","12.2 %","24.9","3436","741"
"Jonny Gomes","- - -","27.7 %","67.5 %","46.5 %","48.3 %","82.1 %","71.5 %","47.4 %","60.4 %","13.2 %","508",".214",".297","9.2 %","26.4 %","20.4","2355","1845"
"Preston Wilson","- - -","24.9 %","71.8 %","49.4 %","46.7 %","81.9 %","73.4 %","52.3 %","42.0 %","13.1 %","912",".204",".310","7.8 %","23.7 %","5.9","3833","545"
"Adrian Beltre","- - -","31.0 %","70.6 %","50.8 %","61.2 %","86.9 %","79.1 %","50.0 %","48.0 %","10.5 %","1699",".191",".294","6.6 %","15.3 %","71.1","6690","639"
"Yunel Escobar","- - -","21.3 %","68.7 %","44.8 %","63.6 %","92.5 %","85.5 %","49.5 %","58.6 %","6.4 %","537",".108",".314","9.4 %","10.6 %","17.1","2113","4191"
"Colby Rasmus","Cardinals","26.6 %","72.3 %","47.6 %","53.8 %","87.2 %","77.1 %","45.9 %","59.5 %","10.7 %","247",".189",".314","9.4 %","23.1 %","12.3","1054","9893"
"Brian Roberts","Orioles","19.2 %","65.0 %","43.1 %","74.8 %","93.0 %","89.1 %","52.1 %","54.3 %","4.7 %","1338",".136",".317","10.0 %","13.3 %","34.3","5357","166"
"Cody Ross","- - -","27.9 %","65.9 %","46.5 %","60.1 %","84.8 %","77.2 %","49.1 %","57.7 %","10.6 %","539",".200",".306","6.7 %","21.4 %","12.9","2222","1760"
"Hank Blalock","- - -","24.6 %","73.9 %","48.7 %","51.0 %","86.0 %","76.9 %","48.8 %","56.3 %","11.2 %","959",".194",".296","8.0 %","18.3 %","1.0","3928","1419"
"Juan Rivera","- - -","26.2 %","70.1 %","47.8 %","66.1 %","91.5 %","84.4 %","49.2 %","58.5 %","7.4 %","754",".181",".283","6.6 %","11.5 %","23.6","2927","843"
"James Loney","Dodgers","25.3 %","63.2 %","43.6 %","73.5 %","93.3 %","87.4 %","48.3 %","55.0 %","5.4 %","634",".149",".311","8.3 %","12.6 %","23.8","2437","4556"
"Kenny Lofton","- - -","13.2 %","66.9 %","42.0 %","71.1 %","93.8 %","90.5 %","53.5 %","40.7 %","4.1 %","1072",".129",".306","9.6 %","10.1 %","14.0","4237","246"
"Denard Span","Twins","17.8 %","60.2 %","39.5 %","74.2 %","94.9 %","90.4 %","51.0 %","58.9 %","3.8 %","448",".104",".326","10.0 %","12.4 %","15.8","1792","8347"
"Scott Hatteberg","- - -","13.4 %","57.3 %","35.4 %","67.2 %","95.2 %","89.9 %","50.2 %","45.1 %","3.6 %","932",".133",".282","11.6 %","9.1 %","18.3","3956","916"
"Jeromy Burnitz","- - -","23.4 %","75.4 %","49.5 %","46.4 %","79.9 %","72.1 %","50.2 %","38.6 %","13.7 %","867",".219",".266","10.2 %","20.6 %","3.5","4012","867"
"Mike Lieberthal","- - -","21.3 %","73.2 %","48.8 %","57.3 %","91.0 %","84.1 %","52.9 %","46.0 %","7.7 %","735",".161",".289","7.2 %","11.0 %","6.6","2949","959"
"Tino Martinez","- - -","18.1 %","66.4 %","43.2 %","53.4 %","90.3 %","82.9 %","52.0 %","34.1 %","7.3 %","769",".185",".271","9.4 %","13.2 %","18.7","3276","1168"
"Ben Francisco","- - -","24.2 %","62.5 %","43.4 %","54.5 %","90.1 %","80.2 %","50.2 %","55.7 %","8.6 %","288",".182",".296","7.8 %","18.3 %","8.2","1221","4677"
"Tony Clark","- - -","25.1 %","73.0 %","48.9 %","41.1 %","78.5 %","68.8 %","49.7 %","42.2 %","15.1 %","585",".217",".290","10.2 %","24.5 %","9.5","2637","182"
"Shane Victorino","- - -","28.1 %","60.3 %","44.3 %","75.2 %","93.2 %","87.5 %","50.4 %","58.2 %","5.5 %","763",".149",".301","7.4 %","11.7 %","7.4","3043","1677"
"Casey Blake","- - -","20.9 %","59.6 %","40.9 %","61.2 %","88.4 %","81.6 %","51.5 %","56.6 %","7.5 %","1125",".181",".305","8.7 %","20.4 %","39.9","4811","719"
"Ian Stewart","Rockies","26.4 %","66.2 %","45.0 %","51.6 %","81.2 %","71.9 %","46.7 %","56.8 %","12.6 %","274",".206",".306","10.3 %","28.0 %","-9.1","1282","5950"
"Carl Crawford","Devil Rays","30.5 %","72.8 %","52.7 %","64.9 %","88.6 %","82.1 %","52.4 %","63.0 %","9.4 %","1480",".148",".331","5.4 %","14.2 %","43.6","5395","1201"
"Fred Lewis","- - -","21.3 %","66.1 %","44.0 %","62.7 %","86.0 %","80.4 %","50.6 %","56.6 %","8.5 %","370",".146",".348","9.4 %","22.7 %","8.4","1528","4693"
"Wilson Betemit","- - -","24.7 %","66.0 %","44.8 %","51.6 %","84.1 %","74.9 %","48.6 %","57.1 %","11.1 %","377",".182",".331","9.4 %","25.2 %","6.9","1590","1861"
"Aaron Rowand","- - -","28.7 %","72.6 %","51.1 %","51.6 %","86.8 %","77.1 %","51.1 %","58.8 %","11.7 %","1116",".166",".317","5.6 %","18.6 %","12.6","4466","254"
"Jason Varitek","Red Sox","23.0 %","66.2 %","44.7 %","52.9 %","83.6 %","75.8 %","50.2 %","47.0 %","10.7 %","1071",".175",".302","11.0 %","21.2 %","1.7","4797","217"
"Nate McLouth","- - -","21.3 %","58.8 %","40.0 %","70.1 %","91.3 %","85.6 %","49.7 %","55.7 %","5.7 %","517",".186",".277","9.6 %","17.1 %","10.4","2363","3190"
"Marty Cordova","- - -","18.3 %","70.0 %","46.0 %","36.0 %","81.6 %","73.2 %","53.6 %","27.9 %","12.3 %","295",".173",".305","7.9 %","19.1 %","6.2","1215","132"
"Mark Quinn","Royals","24.8 %","69.1 %","50.0 %","35.5 %","84.2 %","73.8 %","56.9 %","5.2 %","13.1 %","287",".188",".303","4.7 %","15.9 %","-9.0","1101","621"
"Ben Zobrist","Devil Rays","22.0 %","57.8 %","38.8 %","69.3 %","90.0 %","83.8 %","47.1 %","55.3 %","6.2 %","384",".168",".278","12.4 %","16.5 %","17.1","1784","7435"
"Russell Martin","Dodgers","19.4 %","62.5 %","40.7 %","60.6 %","89.9 %","82.8 %","49.5 %","54.7 %","6.9 %","638",".124",".302","11.8 %","13.6 %","15.4","2713","4616"
"Jose Cruz","- - -","17.9 %","70.4 %","43.9 %","51.1 %","82.3 %","75.9 %","49.6 %","38.7 %","10.5 %","896",".198",".279","11.9 %","20.1 %","6.5","4179","1296"
"Orlando Hudson","- - -","18.7 %","67.2 %","43.2 %","66.2 %","89.3 %","84.3 %","50.5 %","55.7 %","6.7 %","1168",".143",".316","8.9 %","14.8 %","2.6","4676","1307"
"Todd Hollandsworth","- - -","26.1 %","76.3 %","52.6 %","44.9 %","84.7 %","75.4 %","52.9 %","40.5 %","12.8 %","514",".182",".319","7.8 %","20.2 %","-12.9","2060","433"
"Xavier Nady","- - -","28.9 %","72.2 %","51.0 %","55.2 %","86.4 %","77.8 %","51.0 %","60.3 %","11.3 %","713",".168",".316","5.7 %","19.0 %","14.9","2810","1658"
"Herbert Perry","- - -","20.9 %","74.3 %","50.8 %","56.5 %","88.3 %","82.6 %","56.0 %","28.9 %","8.8 %","355",".172",".295","6.6 %","15.1 %","-4.1","1439","1270"
"Robin Ventura","- - -","15.1 %","67.0 %","40.8 %","44.4 %","84.7 %","77.2 %","49.6 %","28.8 %","9.2 %","464",".185",".258","14.5 %","17.9 %","10.5","2290","854"
"Julio Franco","- - -","19.4 %","68.3 %","45.4 %","51.6 %","84.7 %","78.1 %","53.2 %","52.5 %","9.9 %","409",".127",".350","10.1 %","20.7 %","4.8","1618","87"
"Eric Hinske","- - -","22.3 %","69.5 %","45.5 %","48.8 %","85.1 %","76.0 %","49.2 %","56.5 %","10.9 %","857",".185",".298","10.6 %","21.3 %","7.8","3841","1305"
"Chad Tracy","- - -","24.1 %","62.0 %","43.5 %","64.6 %","92.4 %","84.9 %","51.2 %","55.3 %","6.5 %","690",".167",".306","7.9 %","15.8 %","-12.7","2747","1888"
"Alex Rios","- - -","24.0 %","65.7 %","45.5 %","60.4 %","90.6 %","82.9 %","51.6 %","58.0 %","7.8 %","1065",".165",".317","6.5 %","16.7 %","9.2","4125","2090"
"Jose Guillen","- - -","27.8 %","72.3 %","50.4 %","58.3 %","86.7 %","79.0 %","50.8 %","53.2 %","10.6 %","1232",".180",".298","5.3 %","17.3 %","19.8","4969","57"
"Garrett Jones","- - -","29.9 %","70.2 %","47.1 %","65.9 %","85.6 %","78.4 %","42.7 %","55.0 %","10.0 %","254",".198",".287","9.0 %","20.0 %","9.7","1096","2714"
"Stephen Drew","Diamondbacks","24.3 %","66.7 %","44.8 %","59.2 %","91.0 %","82.1 %","48.3 %","55.2 %","8.0 %","669",".176",".307","8.3 %","16.6 %","-12.2","2736","4251"
"Rondell White","- - -","28.6 %","69.2 %","48.9 %","59.2 %","87.9 %","79.6 %","50.1 %","46.0 %","10.0 %","800",".173",".300","6.0 %","15.8 %","13.2","3153","856"
"Raul Mondesi","- - -","21.3 %","71.7 %","46.3 %","46.7 %","85.2 %","76.3 %","49.7 %","33.6 %","10.9 %","585",".205",".270","9.4 %","17.9 %","2.3","2604","1314"
"David Dellucci","- - -","17.7 %","66.7 %","42.7 %","43.3 %","82.9 %","74.9 %","51.0 %","50.1 %","10.7 %","579",".190",".291","10.3 %","21.8 %","-3.6","2658","1402"
"Placido Polanco","- - -","22.0 %","64.5 %","44.8 %","77.0 %","96.3 %","91.9 %","53.7 %","48.7 %","3.6 %","1746",".110",".313","5.2 %","6.5 %","11.7","6258","1176"
"Jose Valentin","- - -","19.0 %","71.1 %","46.3 %","48.5 %","84.3 %","77.3 %","52.3 %","37.2 %","10.5 %","771",".221",".268","9.4 %","20.0 %","-1.1","3549","256"
"Mike Jacobs","- - -","27.6 %","74.0 %","50.5 %","50.7 %","84.3 %","75.0 %","49.4 %","59.2 %","12.5 %","489",".221",".287","7.8 %","23.0 %","0.8","2117","2231"
"Rafael Furcal","- - -","18.0 %","62.3 %","41.4 %","72.0 %","92.4 %","88.2 %","52.8 %","49.1 %","4.9 %","1608",".126",".317","9.0 %","12.8 %","13.3","6300","88"
"Travis Fryman","Indians","16.0 %","68.2 %","43.2 %","52.2 %","85.0 %","79.2 %","52.1 %","17.7 %","9.0 %","358",".145",".314","9.7 %","17.5 %","-2.4","1467","385"
"Melvin Upton Jr.","Devil Rays","19.0 %","66.0 %","42.8 %","55.1 %","81.9 %","76.1 %","50.7 %","61.1 %","10.2 %","633",".153",".334","11.3 %","24.7 %","19.0","2790","5015"
"Randy Winn","- - -","21.7 %","69.2 %","46.6 %","62.6 %","89.2 %","83.3 %","52.4 %","52.2 %","7.7 %","1584",".136",".320","7.8 %","14.2 %","21.1","6175","1235"
"Dexter Fowler","Rockies","19.5 %","65.0 %","41.5 %","61.7 %","86.7 %","80.7 %","48.5 %","57.9 %","8.0 %","233",".141",".335","11.8 %","21.4 %","-9.9","1050","4062"
"Miguel Montero","Diamondbacks","29.5 %","72.7 %","49.6 %","69.2 %","85.9 %","80.6 %","46.5 %","56.0 %","9.5 %","303",".176",".302","8.4 %","18.6 %","-5.9","1269","3364"
"Craig Biggio","Astros","25.8 %","71.1 %","50.2 %","48.0 %","87.7 %","78.4 %","54.0 %","46.2 %","10.9 %","1192",".163",".293","7.4 %","15.4 %","-13.8","5068","549"
"Jeff Baker","- - -","26.1 %","72.0 %","49.5 %","54.0 %","83.7 %","76.1 %","51.2 %","60.5 %","11.8 %","262",".176",".334","7.4 %","23.8 %","-6.6","1065","2073"
"Mark Loretta","- - -","18.0 %","64.2 %","43.1 %","73.9 %","93.9 %","90.1 %","54.3 %","49.1 %","4.3 %","1230",".101",".314","8.4 %","8.9 %","11.2","4695","1383"
"Bubba Trammell","- - -","17.0 %","73.4 %","46.0 %","42.4 %","85.1 %","77.4 %","51.5 %","21.7 %","10.4 %","302",".186",".265","10.1 %","15.4 %","7.3","1350","1057"
"Kevin Mench","- - -","22.9 %","66.4 %","45.8 %","62.1 %","89.3 %","82.9 %","52.6 %","57.3 %","7.8 %","632",".188",".277","7.0 %","12.9 %","-8.2","2597","1261"
"Greg Vaughn","- - -","17.8 %","73.5 %","44.8 %","46.9 %","73.1 %","67.7 %","48.5 %","13.3 %","14.4 %","278",".211",".260","13.8 %","24.3 %","-1.7","1450","1233"
"Angel Pagan","- - -","26.0 %","62.3 %","43.6 %","74.5 %","92.2 %","86.8 %","48.5 %","55.9 %","5.7 %","379",".150",".325","7.2 %","15.8 %","5.8","1462","2918"
"Marlon Byrd","- - -","27.0 %","68.7 %","48.4 %","57.9 %","88.2 %","80.0 %","51.5 %","61.9 %","9.7 %","914",".141",".325","6.8 %","17.0 %","-2.9","3599","950"
"Ryan Church","- - -","27.3 %","66.5 %","46.0 %","50.6 %","87.0 %","75.7 %","47.6 %","56.3 %","11.1 %","500",".167",".319","8.8 %","21.6 %","7.5","2128","2106"
"Ty Wigginton","- - -","25.7 %","74.5 %","50.4 %","52.7 %","85.1 %","77.0 %","50.6 %","60.9 %","11.6 %","990",".179",".293","7.1 %","17.3 %","6.9","4080","1491"
"Ryan Doumit","Pirates","29.6 %","68.0 %","47.2 %","60.8 %","87.9 %","78.7 %","45.9 %","55.4 %","10.0 %","468",".170",".300","6.8 %","17.5 %","5.2","1939","2113"
"Dan Johnson","- - -","16.4 %","57.9 %","37.0 %","62.2 %","90.7 %","84.3 %","49.7 %","54.7 %","5.8 %","295",".176",".250","13.3 %","14.6 %","7.6","1429","2167"
"Garret Anderson","- - -","29.9 %","68.7 %","50.0 %","59.4 %","90.0 %","81.2 %","51.7 %","45.8 %","9.3 %","1671",".181",".304","4.7 %","13.7 %","15.3","6142","2"
"Mark DeRosa","- - -","20.6 %","68.6 %","45.4 %","53.1 %","88.0 %","80.3 %","51.7 %","55.2 %","8.9 %","886",".147",".309","8.4 %","17.0 %","-10.6","3649","1392"
"Paul O'Neill","Yankees","","","","","","","","","","296",".165",".285","8.3 %","12.5 %","-1.4","1191","1009818"
"Rich Aurilia","- - -","21.9 %","67.7 %","45.9 %","59.2 %","88.2 %","81.6 %","52.4 %","42.9 %","8.4 %","1196",".163",".297","7.2 %","14.0 %","4.2","4724","1106"
"Jeff Conine","- - -","17.3 %","66.3 %","43.3 %","61.8 %","91.4 %","85.8 %","53.0 %","43.6 %","6.1 %","1009",".147",".302","8.2 %","12.6 %","8.7","3981","131"
"Randy Velarde","- - -","11.9 %","62.3 %","39.9 %","34.4 %","81.0 %","74.8 %","55.5 %","8.1 %","10.0 %","260",".128",".326","9.4 %","19.5 %","-3.6","1090","942"
"Frank Menechino","- - -","13.2 %","57.0 %","35.1 %","62.8 %","90.7 %","85.4 %","49.9 %","26.7 %","5.1 %","300",".144",".279","13.3 %","18.3 %","2.8","1501","931"
"Steve Cox","Devil Rays","20.2 %","75.9 %","48.3 %","50.2 %","84.7 %","77.5 %","50.5 %","26.5 %","10.8 %","320",".157",".295","9.3 %","17.2 %","0.2","1380","1200"
"Greg Norton","- - -","17.0 %","68.1 %","43.0 %","47.4 %","83.3 %","76.3 %","50.9 %","41.9 %","10.1 %","404",".170",".298","11.9 %","22.6 %","-16.3","1860","1388"
"Ben Broussard","- - -","23.6 %","70.8 %","48.2 %","48.7 %","86.6 %","77.7 %","52.0 %","59.4 %","10.7 %","561",".188",".297","7.3 %","19.8 %","6.9","2357","312"
"Jose Reyes","Mets","25.7 %","62.3 %","44.8 %","69.9 %","92.4 %","86.2 %","52.1 %","59.8 %","6.2 %","1119",".148",".308","6.8 %","11.0 %","7.3","4254","1736"
"Danny Bautista","- - -","23.4 %","70.4 %","48.2 %","64.0 %","89.3 %","83.5 %","52.8 %","39.4 %","7.9 %","449",".142",".315","6.3 %","12.9 %","-15.5","1689","47"
"Kelly Shoppach","- - -","27.0 %","70.9 %","48.6 %","37.0 %","74.1 %","63.7 %","49.2 %","65.1 %","17.6 %","250",".199",".328","8.8 %","33.3 %","3.2","1230","3867"
